Parent Dir, File Name, String, Line containing string
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, cstdlib, #include <cstdlib>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, cstdio, #include <cstdio>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, iostream, #include <iostream>     // std::cout
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, fstream, #include <fstream>      // std::ifstream, ofstream
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, string, #include <string>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, cstring, #include <cstring>  // strerror()
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, vector, #include <vector>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, algorithm, #include <algorithm>  // transsform() , e.g. toupper
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, sortedVector10.hpp, #include "sortedVector10.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, ConditionalIncludes.hpp, #include "ConditionalIncludes.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree10.cpp, DirTree10.hpp, #include "DirTree10.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, cstdlib, #include <cstdlib>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, cstdio, #include <cstdio>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, iostream, #include <iostream>     // std::cout
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, fstream, #include <fstream>      // std::ifstream, ofstream
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, string, #include <string>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, cstring, #include <cstring>      // strerror()
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, vector, #include <vector>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, algorithm, #include <algorithm>    // transsform() , e.g. toupper
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, sortedVector10.hpp, #include "sortedVector10.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, ConditionalIncludes.hpp, #include "ConditionalIncludes.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree11.cpp, DirTree11.hpp, #include "DirTree11.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, stdlib.h, #include <stdlib.h>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, stdio.h, #include <stdio.h>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, iostream, #include <iostream>     // std::cout
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, fstream, #include <fstream>      // std::ifstream, ofstream
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, string, #include <string>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, cstring, #include <cstring>  // strerror()
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, vector, #include <vector>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, algorithm, #include <algorithm>  // transsform() , e.g. toupper
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, sortedVector8.hpp, #include "sortedVector8.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, ConditionalIncludes.hpp, #include "ConditionalIncludes.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree8.cpp, DirTree8.hpp, #include "DirTree8.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, cstdlib, #include <cstdlib>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, cstdio, #include <cstdio>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, iostream, #include <iostream>     // std::cout
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, fstream, #include <fstream>      // std::ifstream, ofstream
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, string, #include <string>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, cstring, #include <cstring>  // strerror()
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, vector, #include <vector>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, algorithm, #include <algorithm>  // transsform() , e.g. toupper
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, ./sortedVector8.hpp, #include "./sortedVector8.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, ConditionalIncludes.hpp, #include "ConditionalIncludes.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, DirTree9.cpp, DirTree9.hpp, #include "DirTree9.hpp"
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, Example.cpp, stdlib.h, #include <stdlib.h>
U:\Bill\UTILITYS\MSVS2013\SearchFiles1wGit\SourceCode\, Example.cpp, stdio.h, #include <stdio.h>
